file,score_5,folder_label,age_band,gender,source
Disengagement__11-15-Years__Girl__DISENG_11_15_GIRL_533.jpg,2,Disengagement,11-15 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Girl/DISENG_11_15_GIRL_533.jpg
Disengagement__11-15-Years__Girl__DISENG_11_15_GIRL_59.jpg,2,Disengagement,11-15 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Girl/DISENG_11_15_GIRL_59.jpg
Disengagement__11-15-Years__Girl__DISENG_11_15_GIRL_614.jpg,3,Disengagement,11-15 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Girl/DISENG_11_15_GIRL_614.jpg
Disengagement__11-15-Years__Girl__DISENG_11_15_GIRL_653.jpg,5,Disengagement,11-15 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Girl/DISENG_11_15_GIRL_653.jpg
Disengagement__11-15-Years__Girl__DISENG_11_15_GIRL_661.jpg,4,Disengagement,11-15 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Girl/DISENG_11_15_GIRL_661.jpg
Disengagement__11-15-Years__Girl__DISENG_11_15_GIRL_669.jpg,4,Disengagement,11-15 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Girl/DISENG_11_15_GIRL_669.jpg
Disengagement__11-15-Years__Girl__DISENG_11_15_GIRL_689.jpg,4,Disengagement,11-15 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Girl/DISENG_11_15_GIRL_689.jpg
Disengagement__11-15-Years__Girl__DISENG_11_15_GIRL_729.jpg,4,Disengagement,11-15 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Girl/DISENG_11_15_GIRL_729.jpg
Disengagement__11-15-Years__Girl__DISENG_11_15_GIRL_749.jpg,2,Disengagement,11-15 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Girl/DISENG_11_15_GIRL_749.jpg
Disengagement__11-15-Years__Girl__DISENG_11_15_GIRL_771.jpg,3,Disengagement,11-15 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Girl/DISENG_11_15_GIRL_771.jpg
Disengagement__11-15-Years__Girl__DISENG_11_15_GIRL_835.jpg,4,Disengagement,11-15 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Girl/DISENG_11_15_GIRL_835.jpg
Disengagement__11-15-Years__Girl__DISENG_11_15_GIRL_845.jpg,3,Disengagement,11-15 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Girl/DISENG_11_15_GIRL_845.jpg
Disengagement__11-15-Years__Girl__DISENG_11_15_GIRL_882.jpg,2,Disengagement,11-15 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Girl/DISENG_11_15_GIRL_882.jpg
Disengagement__11-15-Years__Girl__DISENG_11_15_GIRL_927.jpg,3,Disengagement,11-15 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Girl/DISENG_11_15_GIRL_927.jpg
Disengagement__11-15-Years__Girl__DISENG_11_15_GIRL_93.jpg,1,Disengagement,11-15 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Girl/DISENG_11_15_GIRL_93.jpg
Disengagement__11-15-Years__Girl__DISENG_11_15_GIRL_937.jpg,3,Disengagement,11-15 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Girl/DISENG_11_15_GIRL_937.jpg
Disengagement__16-21-Years__Boy__DISENG_16_21_BOY_2.jpg,1,Disengagement,16-21 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/16-21 Years/Boy/DISENG_16_21_BOY_2.jpg
Disengagement__16-21-Years__Boy__DISENG_16_21_BOY_414.jpg,1,Disengagement,16-21 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/16-21 Years/Boy/DISENG_16_21_BOY_414.jpg
Disengagement__16-21-Years__Boy__DISENG_16_21_BOY_490.jpg,1,Disengagement,16-21 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/16-21 Years/Boy/DISENG_16_21_BOY_490.jpg
Disengagement__16-21-Years__Boy__DISENG_16_21_BOY_763.jpg,2,Disengagement,16-21 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/16-21 Years/Boy/DISENG_16_21_BOY_763.jpg
Disengagement__16-21-Years__Boy__DISENG_16_21_BOY_823.jpg,1,Disengagement,16-21 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/16-21 Years/Boy/DISENG_16_21_BOY_823.jpg
Disengagement__16-21-Years__Boy__DISENG_16_21_BOY_884.jpg,1,Disengagement,16-21 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/16-21 Years/Boy/DISENG_16_21_BOY_884.jpg
Disengagement__16-21-Years__Boy__DISENG_16_21_BOY_930.jpg,1,Disengagement,16-21 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/16-21 Years/Boy/DISENG_16_21_BOY_930.jpg
Disengagement__16-21-Years__Boy__DISENG_16_21_BOY_937.jpg,2,Disengagement,16-21 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/16-21 Years/Boy/DISENG_16_21_BOY_937.jpg
Disengagement__16-21-Years__Girl__DISENG_16_21_GIRL_10.jpg,3,Disengagement,16-21 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/16-21 Years/Girl/DISENG_16_21_GIRL_10.jpg
Disengagement__16-21-Years__Girl__DISENG_16_21_GIRL_110.jpg,2,Disengagement,16-21 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/16-21 Years/Girl/DISENG_16_21_GIRL_110.jpg
Disengagement__16-21-Years__Girl__DISENG_16_21_GIRL_156.jpg,1,Disengagement,16-21 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/16-21 Years/Girl/DISENG_16_21_GIRL_156.jpg
Disengagement__16-21-Years__Girl__DISENG_16_21_GIRL_22.jpg,4,Disengagement,16-21 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/16-21 Years/Girl/DISENG_16_21_GIRL_22.jpg
Disengagement__16-21-Years__Girl__DISENG_16_21_GIRL_265.jpg,4,Disengagement,16-21 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/16-21 Years/Girl/DISENG_16_21_GIRL_265.jpg
Disengagement__16-21-Years__Girl__DISENG_16_21_GIRL_31.jpg,3,Disengagement,16-21 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/16-21 Years/Girl/DISENG_16_21_GIRL_31.jpg
Disengagement__16-21-Years__Girl__DISENG_16_21_GIRL_339.jpg,4,Disengagement,16-21 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/16-21 Years/Girl/DISENG_16_21_GIRL_339.jpg
Disengagement__16-21-Years__Girl__DISENG_16_21_GIRL_354.jpg,5,Disengagement,16-21 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/16-21 Years/Girl/DISENG_16_21_GIRL_354.jpg
Disengagement__16-21-Years__Girl__DISENG_16_21_GIRL_359.jpg,4,Disengagement,16-21 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/16-21 Years/Girl/DISENG_16_21_GIRL_359.jpg
Disengagement__16-21-Years__Girl__DISENG_16_21_GIRL_537.jpg,3,Disengagement,16-21 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/16-21 Years/Girl/DISENG_16_21_GIRL_537.jpg
Disengagement__16-21-Years__Girl__DISENG_16_21_GIRL_544.jpg,3,Disengagement,16-21 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/16-21 Years/Girl/DISENG_16_21_GIRL_544.jpg
Disengagement__16-21-Years__Girl__DISENG_16_21_GIRL_604.jpg,2,Disengagement,16-21 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/16-21 Years/Girl/DISENG_16_21_GIRL_604.jpg
Disengagement__16-21-Years__Girl__DISENG_16_21_GIRL_692.jpg,2,Disengagement,16-21 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/16-21 Years/Girl/DISENG_16_21_GIRL_692.jpg
Disengagement__16-21-Years__Girl__DISENG_16_21_GIRL_760.jpg,3,Disengagement,16-21 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/16-21 Years/Girl/DISENG_16_21_GIRL_760.jpg
Disengagement__16-21-Years__Girl__DISENG_16_21_GIRL_800.jpg,3,Disengagement,16-21 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/16-21 Years/Girl/DISENG_16_21_GIRL_800.jpg
Disengagement__16-21-Years__Girl__DISENG_16_21_GIRL_813.jpg,2,Disengagement,16-21 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/16-21 Years/Girl/DISENG_16_21_GIRL_813.jpg
Disengagement__16-21-Years__Girl__DISENG_16_21_GIRL_853.jpg,2,Disengagement,16-21 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/16-21 Years/Girl/DISENG_16_21_GIRL_853.jpg
Disengagement__16-21-Years__Girl__DISENG_16_21_GIRL_886.jpg,3,Disengagement,16-21 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/16-21 Years/Girl/DISENG_16_21_GIRL_886.jpg
Disengagement__16-21-Years__Girl__DISENG_16_21_GIRL_892.jpg,3,Disengagement,16-21 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/16-21 Years/Girl/DISENG_16_21_GIRL_892.jpg
Disengagement__16-21-Years__Girl__DISENG_16_21_GIRL_90.jpg,1,Disengagement,16-21 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/16-21 Years/Girl/DISENG_16_21_GIRL_90.jpg
Disengagement__16-21-Years__Girl__DISENG_16_21_GIRL_91.jpg,1,Disengagement,16-21 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/16-21 Years/Girl/DISENG_16_21_GIRL_91.jpg
Disengagement__16-21-Years__Girl__DISENG_16_21_GIRL_960.jpg,5,Disengagement,16-21 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/16-21 Years/Girl/DISENG_16_21_GIRL_960.jpg
Disengagement__16-21-Years__Girl__DISENG_16_21_GIRL_978.jpg,3,Disengagement,16-21 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/16-21 Years/Girl/DISENG_16_21_GIRL_978.jpg
Disengagement__16-21-Years__Girl__DISENG_16_21_GIRL_998.jpg,3,Disengagement,16-21 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/16-21 Years/Girl/DISENG_16_21_GIRL_998.jpg
Disengagement__22-Above-Years__Boy__DISENG_22_ABOVE_BOY_227.jpg,1,Disengagement,22-Above Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/22-Above Years/Boy/DISENG_22_ABOVE_BOY_227.jpg
Disengagement__22-Above-Years__Boy__DISENG_22_ABOVE_BOY_241.jpg,1,Disengagement,22-Above Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/22-Above Years/Boy/DISENG_22_ABOVE_BOY_241.jpg
Disengagement__22-Above-Years__Boy__DISENG_22_ABOVE_BOY_27.jpg,1,Disengagement,22-Above Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/22-Above Years/Boy/DISENG_22_ABOVE_BOY_27.jpg
Disengagement__22-Above-Years__Boy__DISENG_22_ABOVE_BOY_587.jpg,3,Disengagement,22-Above Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/22-Above Years/Boy/DISENG_22_ABOVE_BOY_587.jpg
Disengagement__22-Above-Years__Boy__DISENG_22_ABOVE_BOY_782.jpg,2,Disengagement,22-Above Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/22-Above Years/Boy/DISENG_22_ABOVE_BOY_782.jpg
Disengagement__22-Above-Years__Boy__DISENG_22_ABOVE_BOY_847.jpg,2,Disengagement,22-Above Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/22-Above Years/Boy/DISENG_22_ABOVE_BOY_847.jpg
Disengagement__22-Above-Years__Boy__DISENG_22_ABOVE_BOY_876.jpg,2,Disengagement,22-Above Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/22-Above Years/Boy/DISENG_22_ABOVE_BOY_876.jpg
Disengagement__22-Above-Years__Boy__DISENG_22_ABOVE_BOY_93.jpg,1,Disengagement,22-Above Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/22-Above Years/Boy/DISENG_22_ABOVE_BOY_93.jpg
Disengagement__22-Above-Years__Girl__DISENG_22_ABOVE_GIRL_182.jpg,1,Disengagement,22-Above Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/22-Above Years/Girl/DISENG_22_ABOVE_GIRL_182.jpg
Disengagement__22-Above-Years__Girl__DISENG_22_ABOVE_GIRL_212.jpg,1,Disengagement,22-Above Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/22-Above Years/Girl/DISENG_22_ABOVE_GIRL_212.jpg
Disengagement__22-Above-Years__Girl__DISENG_22_ABOVE_GIRL_268.jpg,1,Disengagement,22-Above Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/22-Above Years/Girl/DISENG_22_ABOVE_GIRL_268.jpg
Disengagement__22-Above-Years__Girl__DISENG_22_ABOVE_GIRL_272.jpg,3,Disengagement,22-Above Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/22-Above Years/Girl/DISENG_22_ABOVE_GIRL_272.jpg
Disengagement__22-Above-Years__Girl__DISENG_22_ABOVE_GIRL_286.jpg,1,Disengagement,22-Above Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/22-Above Years/Girl/DISENG_22_ABOVE_GIRL_286.jpg
Disengagement__22-Above-Years__Girl__DISENG_22_ABOVE_GIRL_320.jpg,4,Disengagement,22-Above Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/22-Above Years/Girl/DISENG_22_ABOVE_GIRL_320.jpg
Disengagement__22-Above-Years__Girl__DISENG_22_ABOVE_GIRL_363.jpg,4,Disengagement,22-Above Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/22-Above Years/Girl/DISENG_22_ABOVE_GIRL_363.jpg
Disengagement__22-Above-Years__Girl__DISENG_22_ABOVE_GIRL_366.jpg,2,Disengagement,22-Above Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/22-Above Years/Girl/DISENG_22_ABOVE_GIRL_366.jpg
Disengagement__22-Above-Years__Girl__DISENG_22_ABOVE_GIRL_367.jpg,4,Disengagement,22-Above Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/22-Above Years/Girl/DISENG_22_ABOVE_GIRL_367.jpg
Disengagement__22-Above-Years__Girl__DISENG_22_ABOVE_GIRL_376.jpg,4,Disengagement,22-Above Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/22-Above Years/Girl/DISENG_22_ABOVE_GIRL_376.jpg
Disengagement__22-Above-Years__Girl__DISENG_22_ABOVE_GIRL_390.jpg,4,Disengagement,22-Above Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/22-Above Years/Girl/DISENG_22_ABOVE_GIRL_390.jpg
Disengagement__22-Above-Years__Girl__DISENG_22_ABOVE_GIRL_404.jpg,3,Disengagement,22-Above Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/22-Above Years/Girl/DISENG_22_ABOVE_GIRL_404.jpg
Disengagement__22-Above-Years__Girl__DISENG_22_ABOVE_GIRL_453.jpg,3,Disengagement,22-Above Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/22-Above Years/Girl/DISENG_22_ABOVE_GIRL_453.jpg
Disengagement__22-Above-Years__Girl__DISENG_22_ABOVE_GIRL_508.jpg,4,Disengagement,22-Above Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/22-Above Years/Girl/DISENG_22_ABOVE_GIRL_508.jpg
Disengagement__22-Above-Years__Girl__DISENG_22_ABOVE_GIRL_597.jpg,1,Disengagement,22-Above Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/22-Above Years/Girl/DISENG_22_ABOVE_GIRL_597.jpg
Disengagement__22-Above-Years__Girl__DISENG_22_ABOVE_GIRL_602.jpg,1,Disengagement,22-Above Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/22-Above Years/Girl/DISENG_22_ABOVE_GIRL_602.jpg
Disengagement__22-Above-Years__Girl__DISENG_22_ABOVE_GIRL_606.jpg,1,Disengagement,22-Above Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/22-Above Years/Girl/DISENG_22_ABOVE_GIRL_606.jpg
Disengagement__22-Above-Years__Girl__DISENG_22_ABOVE_GIRL_629.jpg,1,Disengagement,22-Above Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/22-Above Years/Girl/DISENG_22_ABOVE_GIRL_629.jpg
Disengagement__22-Above-Years__Girl__DISENG_22_ABOVE_GIRL_64.jpg,3,Disengagement,22-Above Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/22-Above Years/Girl/DISENG_22_ABOVE_GIRL_64.jpg
Disengagement__22-Above-Years__Girl__DISENG_22_ABOVE_GIRL_648.jpg,1,Disengagement,22-Above Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/22-Above Years/Girl/DISENG_22_ABOVE_GIRL_648.jpg
Disengagement__22-Above-Years__Girl__DISENG_22_ABOVE_GIRL_654.jpg,1,Disengagement,22-Above Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/22-Above Years/Girl/DISENG_22_ABOVE_GIRL_654.jpg
Disengagement__22-Above-Years__Girl__DISENG_22_ABOVE_GIRL_75.jpg,3,Disengagement,22-Above Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/22-Above Years/Girl/DISENG_22_ABOVE_GIRL_75.jpg
Disengagement__22-Above-Years__Girl__DISENG_22_ABOVE_GIRL_834.jpg,3,Disengagement,22-Above Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/22-Above Years/Girl/DISENG_22_ABOVE_GIRL_834.jpg
